#;qubits;operation;library;performance
1;10;build;stim;0.003462200053036213
2;10;build;stim;0.0037853000685572624
3;10;build;stim;0.0016664001159369946
4;10;build;stim;0.0017263999907299876
5;10;build;stim;0.0019154000328853726
6;10;build;stim;0.0014626000775024295
7;10;build;stim;0.002588000032119453
8;10;build;stim;0.0016226000152528286
9;10;build;stim;0.001962300040759146
10;10;build;stim;0.001816699979826808
11;10;build;stim;0.001961000030860305
12;10;build;stim;0.0014797999756410718
13;10;build;stim;0.002427099971100688
14;10;build;stim;0.0030644999351352453
15;10;build;stim;0.00167559995315969
16;10;build;stim;0.0016187999863177538
17;10;build;stim;0.0016755000688135624
18;10;build;stim;0.0018993999110534787
19;10;build;stim;0.0016568000428378582
20;10;build;stim;0.0017364999512210488
21;10;build;stim;0.0021016999380663037
22;10;build;stim;0.0019591000163927674
23;10;build;stim;0.0014910000609233975
24;10;build;stim;0.00186959991697222
25;10;build;stim;0.0026857999619096518
26;10;build;stim;0.0017846000846475363
27;10;build;stim;0.0017079999670386314
28;10;build;stim;0.0019438000163063407
29;10;build;stim;0.0017745000077411532
30;10;build;stim;0.0028935999143868685
1;100;build;stim;0.0024002999998629093
2;100;build;stim;0.002576800063252449
3;100;build;stim;0.005149899981915951
4;100;build;stim;0.003845499944873154
5;100;build;stim;0.005295199924148619
6;100;build;stim;0.004749299958348274
7;100;build;stim;0.0034278000239282846
8;100;build;stim;0.0024754999903962016
9;100;build;stim;0.002378599951043725
10;100;build;stim;0.002961199963465333
11;100;build;stim;0.0026171000208705664
12;100;build;stim;0.003361599985510111
13;100;build;stim;0.0024287999840453267
14;100;build;stim;0.0032241999870166183
15;100;build;stim;0.0026230999501422048
16;100;build;stim;0.0032423000084236264
17;100;build;stim;0.0028640999225899577
18;100;build;stim;0.0030368000734597445
19;100;build;stim;0.0034851999953389168
20;100;build;stim;0.0031429999507963657
21;100;build;stim;0.00290089996997267
22;100;build;stim;0.0026397000765427947
23;100;build;stim;0.002650999929755926
24;100;build;stim;0.002586500020697713
25;100;build;stim;0.0040222000097855926
26;100;build;stim;0.004032299970276654
27;100;build;stim;0.002476199995726347
28;100;build;stim;0.0028794000390917063
29;100;build;stim;0.0031087000388652086
30;100;build;stim;0.003096599946729839
1;1000;build;stim;0.011786599992774427
2;1000;build;stim;0.02837409998755902
3;1000;build;stim;0.016950499964877963
4;1000;build;stim;0.012015199987217784
5;1000;build;stim;0.015580800012685359
6;1000;build;stim;0.014424399938434362
7;1000;build;stim;0.014451800030656159
8;1000;build;stim;0.013880400103516877
9;1000;build;stim;0.01292410003952682
10;1000;build;stim;0.014348799944855273
11;1000;build;stim;0.020104499999433756
12;1000;build;stim;0.013977700029499829
13;1000;build;stim;0.017373999929986894
14;1000;build;stim;0.02711810008622706
15;1000;build;stim;0.01337010005954653
16;1000;build;stim;0.014456499950028956
17;1000;build;stim;0.015430300030857325
18;1000;build;stim;0.014093799982219934
19;1000;build;stim;0.016655499930493534
20;1000;build;stim;0.012678300030529499
21;1000;build;stim;0.021957900025881827
22;1000;build;stim;0.01574790000449866
23;1000;build;stim;0.013887000037357211
24;1000;build;stim;0.013707600068300962
25;1000;build;stim;0.013432100065983832
26;1000;build;stim;0.0143598000286147
27;1000;build;stim;0.01451390003785491
28;1000;build;stim;0.0190504000056535
29;1000;build;stim;0.012524400022812188
30;1000;build;stim;0.014330000034533441
1;3000;build;stim;0.0340997000457719
