#;qubits;operation;library;performance
1;10;build;stim;0.0005513769865501672
2;10;build;stim;0.0004984420083928853
3;10;build;stim;0.0004925410030409694
4;10;build;stim;0.0004926859983243048
5;10;build;stim;0.0004927690024487674
6;10;build;stim;0.00048046300071291625
7;10;build;stim;0.0004863379872404039
8;10;build;stim;0.0004806119832210243
9;10;build;stim;0.0004909860144834965
10;10;build;stim;0.0004834709980059415
11;10;build;stim;0.00048810700536705554
12;10;build;stim;0.000476964982226491
13;10;build;stim;0.0004773029941134155
14;10;build;stim;0.0004934280004817992
15;10;build;stim;0.0004788229998666793
16;10;build;stim;0.0004961859958712012
17;10;build;stim;0.0004896809987258166
18;10;build;stim;0.0004923100059386343
19;10;build;stim;0.00047801999608054757
20;10;build;stim;0.0004735710099339485
21;10;build;stim;0.0004893389996141195
22;10;build;stim;0.0004868880205322057
23;10;build;stim;0.00048665699432604015
24;10;build;stim;0.0004941450024489313
25;10;build;stim;0.0004913510056212544
26;10;build;stim;0.0004884269728790969
27;10;build;stim;0.0004920669889543205
28;10;build;stim;0.0004772509855683893
29;10;build;stim;0.0004918249906040728
30;10;build;stim;0.0004901339998468757
31;10;build;stim;0.0004923040105495602
32;10;build;stim;0.0004918180056847632
33;10;build;stim;0.0004778720031026751
34;10;build;stim;0.0004901220090687275
35;10;build;stim;0.00048482700367458165
36;10;build;stim;0.0004927620175294578
37;10;build;stim;0.0004894459852948785
38;10;build;stim;0.0004905120003968477
39;10;build;stim;0.0004939850186929107
40;10;build;stim;0.0004873810103163123
41;10;build;stim;0.00047477599582634866
42;10;build;stim;0.0004903849912807345
43;10;build;stim;0.0004803420160897076
44;10;build;stim;0.00048625297495163977
45;10;build;stim;0.0004879689950030297
46;10;build;stim;0.0004802879993803799
47;10;build;stim;0.0004798530135303736
48;10;build;stim;0.00048248900566250086
49;10;build;stim;0.0004932779993396252
50;10;build;stim;0.0004912129952572286
51;10;build;stim;0.0004901890060864389
52;10;build;stim;0.000488741003209725
53;10;build;stim;0.0005972239887341857
54;10;build;stim;0.0004900000058114529
55;10;build;stim;0.0004782979958690703
56;10;build;stim;0.0004767830250784755
57;10;build;stim;0.00047880999045446515
58;10;build;stim;0.000492399005452171
59;10;build;stim;0.0004938130150549114
60;10;build;stim;0.0004941399965900928
61;10;build;stim;0.0004962770035490394
62;10;build;stim;0.0004828209930565208
63;10;build;stim;0.0004787860088981688
64;10;build;stim;0.000490496022393927
65;10;build;stim;0.0004798279842361808
66;10;build;stim;0.00048105299356393516
67;10;build;stim;0.0004906779795419425
68;10;build;stim;0.00046762501006014645
69;10;build;stim;0.0004908539995085448
70;10;build;stim;0.0004928400157950819
71;10;build;stim;0.00047996200737543404
72;10;build;stim;0.00048161501763388515
73;10;build;stim;0.0004771719977725297
74;10;build;stim;0.000483359006466344
75;10;build;stim;0.0004903720109723508
76;10;build;stim;0.0004815350112039596
77;10;build;stim;0.0004800890164915472
78;10;build;stim;0.0004915210010949522
79;10;build;stim;0.0004925570101477206
80;10;build;stim;0.0004814269777853042
81;10;build;stim;0.0004898679908365011
82;10;build;stim;0.00048024600255303085
83;10;build;stim;0.00048139801947399974
84;10;build;stim;0.0004946590051986277
85;10;build;stim;0.00047904401435516775
86;10;build;stim;0.0004935849865432829
87;10;build;stim;0.00048759300261735916
88;10;build;stim;0.00047663599252700806
89;10;build;stim;0.0004761629970744252
90;10;build;stim;0.00047570900642313063
91;10;build;stim;0.000789759011240676
92;10;build;stim;0.0004887389950454235
93;10;build;stim;0.00047977000940591097
94;10;build;stim;0.0004778900183737278
95;10;build;stim;0.0004966839915141463
96;10;build;stim;0.0004905200039502233
97;10;build;stim;0.0004906500107608736
98;10;build;stim;0.00048781599616631866
99;10;build;stim;0.0004898130137007684
100;10;build;stim;0.0004907239926978946
1;100;build;stim;0.0013259199913591146
2;100;build;stim;0.0013293999945744872
3;100;build;stim;0.0013302670267876238
4;100;build;stim;0.0013290919887367636
5;100;build;stim;0.0013264490116853267
6;100;build;stim;0.001334063010290265
7;100;build;stim;0.0013201209949329495
8;100;build;stim;0.0013253009819891304
9;100;build;stim;0.001327331003267318
10;100;build;stim;0.001329497987171635
11;100;build;stim;0.0013155490159988403
12;100;build;stim;0.0013266459864098579
13;100;build;stim;0.0013273800141178071
14;100;build;stim;0.0013228909811004996
15;100;build;stim;0.0013208529853727669
16;100;build;stim;0.001334165019216016
17;100;build;stim;0.0013275700039230287
18;100;build;stim;0.0013273300137370825
19;100;build;stim;0.0013225300062913448
20;100;build;stim;0.0013319360150489956
21;100;build;stim;0.0013269629853311926
22;100;build;stim;0.0013320089783519506
23;100;build;stim;0.0013344780018087476
24;100;build;stim;0.001327809994108975
25;100;build;stim;0.0013273420045152307
26;100;build;stim;0.0013301540166139603
27;100;build;stim;0.0013300690043251961
