#;qubits;operation;library;performance
1;10;build;stim;0.001555300026666373
2;10;build;stim;0.0016045999946072698
3;10;build;stim;0.0015026999753899872
4;10;build;stim;0.0015376000083051622
5;10;build;stim;0.0015601000050082803
6;10;build;stim;0.0015901000006124377
7;10;build;stim;0.001491700008045882
8;10;build;stim;0.00196460000006482
9;10;build;stim;0.0014972000499255955
10;10;build;stim;0.0015626000240445137
11;10;build;stim;0.0016391000244766474
12;10;build;stim;0.0017197999986819923
13;10;build;stim;0.0015779999666847289
14;10;build;stim;0.0015854999655857682
15;10;build;stim;0.0015233999583870173
16;10;build;stim;0.0016074000159278512
17;10;build;stim;0.0014847000129520893
18;10;build;stim;0.0015173000283539295
19;10;build;stim;0.0014814999885857105
20;10;build;stim;0.001570700027514249
21;10;build;stim;0.0016142000094987452
22;10;build;stim;0.001530699955765158
23;10;build;stim;0.00163720001000911
24;10;build;stim;0.0015907000051811337
25;10;build;stim;0.0015452000079676509
26;10;build;stim;0.0015317000215873122
27;10;build;stim;0.0015921999583952129
28;10;build;stim;0.0014662999892607331
29;10;build;stim;0.0014925000141374767
30;10;build;stim;0.0015449000056833029
1;100;build;stim;0.002323900000192225
2;100;build;stim;0.0028317999676801264
3;100;build;stim;0.002744099998380989
4;100;build;stim;0.0028126000543124974
5;100;build;stim;0.002826599986292422
6;100;build;stim;0.0026440999936312437
7;100;build;stim;0.0026559000252746046
8;100;build;stim;0.00302689999807626
9;100;build;stim;0.0025602999958209693
10;100;build;stim;0.0028626000275835395
11;100;build;stim;0.002840299974195659
12;100;build;stim;0.002779700036626309
13;100;build;stim;0.0026025999686680734
14;100;build;stim;0.0028859999729320407
15;100;build;stim;0.003921600000467151
16;100;build;stim;0.0029230000218376517
17;100;build;stim;0.0028987000114284456
18;100;build;stim;0.0027760000084526837
19;100;build;stim;0.002620500046759844
20;100;build;stim;0.002741499978583306
21;100;build;stim;0.002861300017684698
22;100;build;stim;0.0027357999933883548
23;100;build;stim;0.002785600023344159
24;100;build;stim;0.0029363000066950917
25;100;build;stim;0.002689699991606176
26;100;build;stim;0.002639800019096583
27;100;build;stim;0.0027332999743521214
28;100;build;stim;0.0026218999992124736
29;100;build;stim;0.0026894999900832772
30;100;build;stim;0.0030120000010356307
1;1000;build;stim;0.012763099977746606
2;1000;build;stim;0.014499400043860078
3;1000;build;stim;0.013583200052380562
4;1000;build;stim;0.013930900022387505
5;1000;build;stim;0.014098000014200807
6;1000;build;stim;0.013772699981927872
7;1000;build;stim;0.013686600024811924
8;1000;build;stim;0.01679229998262599
9;1000;build;stim;0.014010999992024153
10;1000;build;stim;0.014424299995880574
11;1000;build;stim;0.013526100025046617
12;1000;build;stim;0.013088200008496642
13;1000;build;stim;0.014529199979733676
14;1000;build;stim;0.013503799971658736
15;1000;build;stim;0.013490999990608543
