#;qubits;operation;library;performance
1;10;build;stim;0.0009574079886078835
2;10;build;stim;0.0004891399876214564
3;10;build;stim;0.000836346996948123
4;10;build;stim;0.0008349109557457268
5;10;build;stim;0.0008261670009233057
6;10;build;stim;0.0008471820037811995
7;10;build;stim;0.0008318689651787281
8;10;build;stim;0.0008786480175331235
9;10;build;stim;0.0008723470382392406
10;10;build;stim;0.00048746203538030386
11;10;build;stim;0.00048764701932668686
12;10;build;stim;0.00048523099394515157
13;10;build;stim;0.0004932389711029828
14;10;build;stim;0.000863961991854012
15;10;build;stim;0.0008657000144012272
16;10;build;stim;0.0008730169502086937
17;10;build;stim;0.0008796789916232228
18;10;build;stim;0.0004936319892294705
19;10;build;stim;0.0008897890220396221
20;10;build;stim;0.0008828039863146842
21;10;build;stim;0.0008343569934368134
22;10;build;stim;0.0008655450074002147
23;10;build;stim;0.0004902359796687961
24;10;build;stim;0.00076176697621122
25;10;build;stim;0.0004925709799863398
26;10;build;stim;0.0006393879884853959
27;10;build;stim;0.0005018300144001842
28;10;build;stim;0.0008900979883037508
29;10;build;stim;0.0008410740410909057
30;10;build;stim;0.0004928649868816137
31;10;build;stim;0.0008005039999261498
32;10;build;stim;0.0008574899984523654
33;10;build;stim;0.0009037090349011123
34;10;build;stim;0.0008798930211924016
35;10;build;stim;0.0008551139617338777
36;10;build;stim;0.00087913399329409
37;10;build;stim;0.0008755389717407525
38;10;build;stim;0.0008856600034050643
39;10;build;stim;0.0008277290035039186
40;10;build;stim;0.0008275490254163742
41;10;build;stim;0.00086358399130404
42;10;build;stim;0.0008480909746140242
43;10;build;stim;0.0008824790129438043
44;10;build;stim;0.0004968279972672462
45;10;build;stim;0.0008679399616084993
46;10;build;stim;0.0008558729896321893
47;10;build;stim;0.0008385269902646542
48;10;build;stim;0.0008566409815102816
49;10;build;stim;0.0008800780051387846
50;10;build;stim;0.0008716430165804923
51;10;build;stim;0.0008626909693703055
52;10;build;stim;0.0008669950184412301
53;10;build;stim;0.0008525659795850515
54;10;build;stim;0.0008331490098498762
55;10;build;stim;0.0008856370113790035
56;10;build;stim;0.0009112959960475564
57;10;build;stim;0.0009193939622491598
58;10;build;stim;0.0004983610124327242
59;10;build;stim;0.0004997659707441926
60;10;build;stim;0.0008291980484500527
61;10;build;stim;0.0008413440082222223
62;10;build;stim;0.0004917070036754012
63;10;build;stim;0.0008514900109730661
64;10;build;stim;0.0008210759842768312
65;10;build;stim;0.0008512649801559746
66;10;build;stim;0.0008047299925237894
67;10;build;stim;0.0007771149976179004
68;10;build;stim;0.0004974500043317676
69;10;build;stim;0.0005169420037418604
70;10;build;stim;0.0008653510012663901
71;10;build;stim;0.0008400080259889364
72;10;build;stim;0.0009057219722308218
73;10;build;stim;0.0008284649811685085
74;10;build;stim;0.0005016020149923861
75;10;build;stim;0.0004922419902868569
76;10;build;stim;0.0005659040180034935
77;10;build;stim;0.0004940730286762118
78;10;build;stim;0.0004921939689666033
79;10;build;stim;0.0009457900305278599
80;10;build;stim;0.0007703080191276968
81;10;build;stim;0.0004969150177203119
82;10;build;stim;0.0008944369619712234
83;10;build;stim;0.0009036390110850334
84;10;build;stim;0.0007355150301009417
85;10;build;stim;0.0008540410199202597
86;10;build;stim;0.0008727909880690277
87;10;build;stim;0.0005003479891456664
88;10;build;stim;0.0004979260265827179
89;10;build;stim;0.0007483490044251084
90;10;build;stim;0.0008958260295912623
91;10;build;stim;0.0007485299720428884
92;10;build;stim;0.0004985149716958404
93;10;build;stim;0.0008977599791251123
94;10;build;stim;0.0008974529919214547
95;10;build;stim;0.0008660620078444481
96;10;build;stim;0.0008757660398259759
97;10;build;stim;0.0008562380098737776
98;10;build;stim;0.0009127539815381169
99;10;build;stim;0.0008977240067906678
100;10;build;stim;0.0008321669884026051
1;100;build;stim;0.0013998700305819511
2;100;build;stim;0.0013371339882723987
3;100;build;stim;0.0017906620050780475
4;100;build;stim;0.0017439110088162124
5;100;build;stim;0.0016519560012966394
6;100;build;stim;0.0017001029918901622
7;100;build;stim;0.0017872549942694604
8;100;build;stim;0.001781327009666711
9;100;build;stim;0.001732258009724319
10;100;build;stim;0.0016757120029069483
11;100;build;stim;0.0013338819844648242
12;100;build;stim;0.0013291609939187765
13;100;build;stim;0.0013274580123834312
14;100;build;stim;0.0018079340225085616
15;100;build;stim;0.0017900739912874997
16;100;build;stim;0.0017008429858833551
17;100;build;stim;0.001699000014923513
18;100;build;stim;0.001332785002887249
19;100;build;stim;0.0017983999568969011
20;100;build;stim;0.0016961109940893948
21;100;build;stim;0.0016978259664028883
22;100;build;stim;0.001741612039040774
23;100;build;stim;0.001837405958212912
24;100;build;stim;0.0016730200150050223
25;100;build;stim;0.0015609819674864411
26;100;build;stim;0.001334731001406908
27;100;build;stim;0.0015550790121778846
28;100;build;stim;0.0016922240029089153
29;100;build;stim;0.0017399619682691991
30;100;build;stim;0.0017934459610842168
31;100;build;stim;0.0017152780201286077
32;100;build;stim;0.0018292239983566105
33;100;build;stim;0.001704388007055968
34;100;build;stim;0.0017072340124286711
35;100;build;stim;0.0017164110322482884
36;100;build;stim;0.0017093169735744596
37;100;build;stim;0.0017300339532084763
38;100;build;stim;0.0017300560139119625
39;100;build;stim;0.0017121380078606308
40;100;build;stim;0.0017216550186276436
41;100;build;stim;0.0016971019795164466
42;100;build;stim;0.0017390460125170648
43;100;build;stim;0.0017236220301128924
44;100;build;stim;0.001337115012574941
45;100;build;stim;0.0017458020010963082
46;100;build;stim;0.001703366986475885
47;100;build;stim;0.0016483889776282012
48;100;build;stim;0.0017465659766457975
49;100;build;stim;0.0017863789689727128
50;100;build;stim;0.0017586929607205093
51;100;build;stim;0.001757331017870456
52;100;build;stim;0.001699045009445399
53;100;build;stim;0.0017333629657514393
54;100;build;stim;0.0017420730437152088
55;100;build;stim;0.001798328012228012
56;100;build;stim;0.0016917790053412318
57;100;build;stim;0.001692614983767271
58;100;build;stim;0.0018039870192296803
59;100;build;stim;0.0013342179590836167
60;100;build;stim;0.0016259659896604717
61;100;build;stim;0.0017472270410507917
62;100;build;stim;0.0013385890051722527
63;100;build;stim;0.0017334690201096237
64;100;build;stim;0.0017833510064519942
65;100;build;stim;0.0017353740404359996
66;100;build;stim;0.001728363975416869
67;100;build;stim;0.001683190988842398
68;100;build;stim;0.0013350080116651952
69;100;build;stim;0.002020273997914046
70;100;build;stim;0.001659330038819462
71;100;build;stim;0.0017352470313198864
72;100;build;stim;0.001783326966688037
73;100;build;stim;0.0017863669781945646
74;100;build;stim;0.0017418119823560119
75;100;build;stim;0.001323623990174383
76;100;build;stim;0.0016517100157216191
77;100;build;stim;0.0016254180227406323
78;100;build;stim;0.0017250110395252705
79;100;build;stim;0.0015619299956597388
80;100;build;stim;0.001551253953948617
81;100;build;stim;0.0014732150011695921
82;100;build;stim;0.001716784026939422
83;100;build;stim;0.0016574549954384565
84;100;build;stim;0.0015618519973941147
85;100;build;stim;0.001674761006142944
86;100;build;stim;0.001811326015740633
87;100;build;stim;0.0013951699947938323
88;100;build;stim;0.0020227059721946716
89;100;build;stim;0.0013314189855009317
90;100;build;stim;0.001725833979435265
91;100;build;stim;0.0013339899596758187
92;100;build;stim;0.0014290459803305566
93;100;build;stim;0.0017391390283592045
94;100;build;stim;0.0018423220026306808
95;100;build;stim;0.0017362579819746315
96;100;build;stim;0.0017038070363923907
97;100;build;stim;0.00174992298707366
98;100;build;stim;0.0017056679935194552
99;100;build;stim;0.001778965990524739
100;100;build;stim;0.0017404649988748133
1;1000;build;stim;0.00986051798099652
2;1000;build;stim;0.009723325027152896
3;1000;build;stim;0.011214298021513969
4;1000;build;stim;0.011064524005632848
5;1000;build;stim;0.011024993029423058
6;1000;build;stim;0.010918251995462924
7;1000;build;stim;0.010856598964892328
8;1000;build;stim;0.01029280200600624
9;1000;build;stim;0.010959971987176687
10;1000;build;stim;0.009722563961986452
11;1000;build;stim;0.009748208976816386
12;1000;build;stim;0.009735429019201547
13;1000;build;stim;0.010464546037837863
14;1000;build;stim;0.01081868598703295
15;1000;build;stim;0.010529927036259323
16;1000;build;stim;0.010597424989100546
17;1000;build;stim;0.010907388001214713
18;1000;build;stim;0.009724428004119545
19;1000;build;stim;0.011200643028132617
20;1000;build;stim;0.011526460002642125
21;1000;build;stim;0.010705035994760692
22;1000;build;stim;0.011241263011470437
23;1000;build;stim;0.010516144975554198
24;1000;build;stim;0.01016294799046591
25;1000;build;stim;0.010051899997051805
26;1000;build;stim;0.009734097984619439
27;1000;build;stim;0.009728713019285351
28;1000;build;stim;0.010405450011603534
29;1000;build;stim;0.010897208005189896
30;1000;build;stim;0.011157133034430444
31;1000;build;stim;0.01055024703964591
32;1000;build;stim;0.010914008016698062
33;1000;build;stim;0.011112761043477803
34;1000;build;stim;0.010625405004248023
35;1000;build;stim;0.011033980990760028
36;1000;build;stim;0.010720808990299702
37;1000;build;stim;0.011208973999600857
38;1000;build;stim;0.01096720201894641
39;1000;build;stim;0.010836795961949974
40;1000;build;stim;0.011157548055052757
41;1000;build;stim;0.010652012017089874
42;1000;build;stim;0.011413829983212054
43;1000;build;stim;0.011073824018239975
44;1000;build;stim;0.009754310012795031
45;1000;build;stim;0.010863873991183937
46;1000;build;stim;0.010626645002048463
47;1000;build;stim;0.011097772978246212
48;1000;build;stim;0.011073942994698882
49;1000;build;stim;0.01019216503482312
50;1000;build;stim;0.01098058803472668
51;1000;build;stim;0.010881514986976981
52;1000;build;stim;0.01084697199985385
53;1000;build;stim;0.010850427963305265
54;1000;build;stim;0.010937765997368842
